ID,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
953,Ashley Lee,19,Other,Kingberg,10th,3.8,7.5,63,7,0.8,6,5,5,1,1.5,83,20,2.9,0.9,0.2,Social Media,6,4.7,9.5
954,Sheila Hart,18,Other,East Carlosmouth,8th,5.9,7.6,59,0,1.5,6,1,1,1,1.5,129,20,0.4,1.3,0.9,Social Media,3,6.9,10
955,Joan Aguilar,13,Other,Lake Anthony,12th,5,6.6,97,8,0,2,8,6,1,1.1,116,14,2.7,2.7,0.2,Education,7,4.8,10
956,Dominique Allen,17,Female,Tylerhaven,8th,2,4.1,95,10,1.3,7,6,2,1,0.7,38,7,2,3,0.7,Social Media,1,6.4,7.1
957,Lindsey Hawkins,15,Male,Cruzhaven,12th,4.6,4.4,88,4,0,4,3,5,0,1.2,45,15,3.5,1.6,0.3,Social Media,10,2.2,10
958,Shelia Robinson,14,Other,Youngbury,9th,2.4,6.3,87,0,0,4,4,7,0,1.7,89,5,2.8,0.3,1.8,Education,3,3.3,5.1
959,Angel Morris,17,Male,Lake Coryville,9th,5.4,7.1,100,5,1.4,10,2,4,1,1.3,58,6,2.2,3,0.5,Other,2,7.1,9.4
960,Richard Henry,16,Female,Port Jamesstad,7th,3.7,7.3,62,1,1,8,4,10,1,0.1,108,5,1.8,1.7,0,Browsing,3,0.1,6.7
961,Louis Cline,14,Other,South Rhonda,9th,2.4,4.6,80,3,2.1,6,3,8,1,1,22,6,4.7,2.6,1,Other,4,3.2,9
962,Tamara Rogers,18,Other,Candacefurt,8th,4.7,7.7,97,1,0,7,10,10,0,0.8,107,18,1.9,1.5,1,Gaming,6,4.1,10
963,Timothy Smith,16,Male,Michaelburgh,11th,6.9,6.6,76,3,0,3,8,3,1,0.6,24,19,0.9,1.5,0.8,Other,6,7.2,10
964,Mr. Jeffrey Park,13,Female,East Felicia,9th,3.7,6.1,82,0,3.1,9,2,5,0,1,119,14,2.7,0.5,1,Gaming,3,5.6,9
965,Roberta Hoover,16,Other,Jamesshire,9th,4,6.7,57,10,1,9,10,9,1,1.1,123,20,3.9,1.5,0,Education,9,7.7,10
966,Deborah Shelton,17,Female,North Brianberg,11th,3.7,6.6,56,5,0.9,4,8,1,0,1.1,108,20,3.5,1.6,1.2,Browsing,10,3.3,10
967,Vanessa Williams,17,Other,South Stevenport,10th,4.2,6.6,85,1,0,1,1,8,0,1.1,46,16,4.9,0,0.5,Browsing,4,4.4,9.9
968,Joshua Sullivan,13,Other,Millerberg,7th,5,6.9,78,8,1.2,4,8,6,0,0.9,75,13,1.7,0.5,1,Social Media,7,6.6,7.8
969,Heather Caldwell,16,Other,West Russellshire,8th,8.7,5.7,65,2,0.7,6,7,1,1,0.7,38,17,3.2,0.8,1.8,Browsing,6,6.6,10
970,Andrew Bray,13,Female,Mahoneyland,10th,4.2,6.3,90,8,2.6,9,4,5,0,0.4,59,8,1.8,0,1.8,Social Media,10,10.8,5.6
971,Amy Duncan,17,Other,Georgeberg,11th,3.8,4.6,93,5,0.2,3,2,8,0,1.8,64,5,2.2,3.4,0.4,Gaming,7,6.7,9.4
972,Steven Estrada,18,Other,East Wanda,12th,4.4,7,61,1,0,6,4,10,0,1.3,110,20,0.7,0,1.7,Browsing,8,0.2,7.8
973,Olivia Haynes,15,Female,Scottton,8th,4,7.5,51,8,1.5,10,6,10,0,0.7,47,8,1.9,2.7,2.6,Social Media,8,5.4,7.4
974,Francisco Henry,15,Male,North Lauren,8th,5.1,5.1,57,9,2,9,8,9,0,1.2,20,9,3,0.4,0.8,Other,2,3.7,8.2
975,Michael Lowe,19,Female,Gregoryside,12th,4.8,5.6,84,5,1.4,7,10,3,0,1.9,95,8,2.3,2.5,0.9,Other,8,11.2,10
976,Leslie Parsons,14,Male,Port Markstad,11th,5.5,4.7,81,3,0.6,8,9,9,0,0.4,60,7,2.7,1.6,1.7,Education,10,5.6,10
977,Dana Marshall,19,Female,West Melvin,11th,3.7,7.3,97,4,0.7,7,9,1,0,1.5,147,14,3,1.1,1.2,Education,4,7.1,9.9
978,Alyssa Jenkins,19,Male,New Joannachester,7th,9.4,8,97,5,0.8,2,6,2,1,0.7,53,11,3.6,2.5,0.7,Social Media,8,6.2,10
979,Luis Crawford,16,Other,South Brendashire,7th,5.4,9,50,1,0.6,6,3,9,0,0.1,20,9,1.2,2.5,1,Browsing,9,2,6.8
980,Angela Walker,18,Female,Nathanland,11th,2.4,7.7,92,10,0.9,10,6,7,0,2.2,37,19,1.8,1.9,1.8,Browsing,7,4.9,6.8
981,Michele Winters,18,Other,Andersonborough,10th,6.7,7.1,82,2,0,6,9,3,0,0.8,56,14,1,1.4,1.9,Other,3,6.9,9.5
982,Emma Young,18,Female,East Ian,8th,5.7,5.1,70,3,1.5,4,1,2,1,1.3,37,6,1.2,1.2,0,Other,3,3.8,7.5
983,Brooke Sanders,19,Other,Port Andrew,10th,4.8,8.9,89,7,0.2,10,1,10,0,1.3,57,12,2,1.7,0.4,Other,5,8,7.6
984,Alyssa Massey,19,Other,Thomasmouth,10th,6.2,7.6,85,9,1.5,1,1,4,1,1.6,37,11,0.7,1.9,0.9,Education,8,8.9,7.9
985,Adam Nunez,17,Female,South Elizabethshire,10th,5.5,7.9,90,4,0.8,6,5,5,1,1.6,26,5,2.1,0.6,0.8,Gaming,5,7.9,5.8
986,John Flores,13,Male,North Chadfort,9th,4.8,6.4,81,10,1.1,6,5,6,1,1.1,97,11,2.2,2,1.1,Education,3,4.5,9.9
987,Kaitlyn Wheeler,13,Female,Hunterborough,10th,6.2,6.5,99,1,0.3,9,5,1,0,0,23,17,1.2,2.4,2.2,Gaming,9,9,10
988,Justin Dixon,13,Other,Donaldborough,8th,1.1,6,82,3,1.8,10,9,10,0,0.7,29,6,3,0.3,0.9,Other,8,8.9,3.2
989,Alicia Morrison,14,Male,Amandaburgh,12th,3.1,8.6,57,7,1.5,3,3,7,1,1.9,69,11,1.8,1.3,1.2,Browsing,8,2.7,5.5
990,Colleen Perkins,15,Female,Anthonyview,7th,6.8,5.2,55,0,2,2,10,10,0,0.8,58,16,3.4,0.6,0.3,Education,2,7.8,10
991,Annette Rodriguez,15,Other,East Jacquelineland,10th,4.8,5.6,82,3,0,9,6,9,1,1.9,106,11,3.4,1.6,0.4,Other,6,6.1,10
992,Martin Singleton,15,Female,Michaelberg,8th,3,8.5,63,1,0.8,8,9,8,1,1,73,8,3.3,0,1,Social Media,4,3,5.1
993,Dana Jimenez,15,Male,South Tabitha,11th,8,5.3,68,1,0.6,2,4,3,0,0.8,106,10,1.3,0.5,1.5,Gaming,8,5.9,10
994,Meagan Bradley,15,Male,Millerport,11th,3.3,6.5,51,9,0.1,6,4,2,1,0.7,44,20,3.2,2.3,0,Gaming,10,1.1,10
995,Christine Bryant,13,Male,Cherylborough,10th,8.2,8.3,56,3,1.8,4,6,3,0,1.2,80,20,2.6,2.6,1.2,Education,4,1.6,10
996,Andrew Haney,14,Other,Fosterfurt,11th,8.5,9.2,51,8,1.1,5,2,10,1,1.3,104,12,1.4,3,0.7,Social Media,9,6.9,10
997,Morgan Weaver,19,Female,Lake Donald,9th,6.1,6.5,82,6,0.6,4,4,4,1,1.1,95,10,2.8,2.5,2.3,Browsing,1,5.1,10
998,Sarah Lee,19,Male,Lake Todd,8th,5.5,9.8,75,0,1.5,3,1,1,1,1,116,16,2.9,0.5,0.5,Social Media,6,4.9,9.5
999,Melissa Small,18,Male,South Margaret,12th,7.6,8,73,2,0.9,4,10,9,1,0.1,140,18,2.3,1.5,3,Browsing,9,6.6,10
1000,Andrea Martinez,16,Male,North Jeffery,11th,6.7,8.2,93,10,1.2,8,10,7,1,1.1,25,14,1.3,2.1,0.8,Education,3,4.6,9.3
1001,David Williams,17,Male,North Nathanland,10th,5.5,5.7,98,10,0.6,9,7,10,1,0.6,93,13,4.8,0.8,0.7,Other,8,3.3,10
1002,Kevin Peters,19,Male,Kelleychester,10th,6.3,4.7,52,7,0.7,4,8,6,1,1.4,112,7,3.9,2.7,2.7,Other,3,4.4,10
1003,Patricia Robertson,15,Male,Port Robertville,8th,4.4,9.7,71,0,3,9,5,6,1,0,73,9,2.9,1.6,1.2,Browsing,5,5.2,7.3
1004,John Thomas,19,Other,New Luisfort,12th,4,5.8,84,1,0.7,1,6,10,1,2.4,149,20,2.9,1.8,2.2,Education,9,5.5,10
1005,Thomas Ayers,19,Female,Port Robert,9th,1.5,6.8,60,9,0.3,5,1,7,0,0.5,114,14,1.5,3.4,0.1,Gaming,3,5.7,8.1
1006,James Sanchez,14,Female,North Matthewberg,10th,3.6,4.4,91,7,0.5,4,4,8,1,0.8,77,10,2.1,2.3,0.8,Gaming,2,2.6,9.3
1007,Robert Conley,19,Other,Brandonmouth,7th,6,5.3,98,5,0,10,8,5,1,1,34,8,0.6,1.8,0.8,Gaming,8,7.8,8
1008,Amy Hunt,15,Other,Dannyside,12th,2.6,7,82,10,0.6,4,1,6,0,1.4,129,7,3.4,2.7,0,Education,6,6.3,9.2
1009,Carlos Hicks,15,Other,North Thomas,12th,4.5,5.3,82,1,1,10,1,7,0,0.6,83,17,2.7,1.2,1.8,Social Media,10,4.8,10
1010,Meghan Williams,14,Male,Andrewschester,12th,6.2,7.1,87,5,2.2,10,1,9,1,1.8,53,15,2.1,2.2,0.6,Gaming,6,9.1,10
1011,Holly Dean,13,Female,Port Abigail,12th,2.7,6.7,99,8,0.9,5,4,8,1,1.6,45,14,2.3,1.6,1.1,Browsing,3,6.8,7
1012,Ray Scott,16,Female,Port Lisafurt,9th,5.1,8.1,90,5,1.3,6,10,8,1,1.5,103,15,3.4,3.2,1.5,Education,2,7.1,10
1013,Russell Patterson,19,Male,New Randallhaven,11th,5.9,8.2,71,10,1.5,2,5,4,0,1.4,41,11,3.5,2.8,1.7,Social Media,6,2,10
1014,Erika Moreno,18,Other,New Davidborough,10th,2.1,6,92,8,0.8,2,2,3,1,1,143,19,2,1.9,2.3,Other,8,4.3,9.7
1015,Brandon Welch,15,Female,Lake Bradley,11th,4.3,5.7,53,8,0.5,5,7,9,0,1.1,35,6,3.4,0,1.7,Social Media,3,3.9,6.8
1016,Rebekah Harris,17,Male,Ambershire,10th,2.9,7.1,70,6,0.8,4,6,10,1,0.6,53,8,1.3,0.5,0.5,Other,10,8.6,3.8
1017,Ana Martinez,16,Female,Ramirezfurt,8th,3.4,9.7,71,0,2,4,5,3,1,1.3,30,11,0.9,1.1,2,Education,8,4.4,3.4
1018,Ashley Hardy,19,Male,Brianhaven,12th,5.4,7.3,97,3,2.5,6,2,9,0,1,35,19,2.3,1.6,0,Gaming,6,5.4,10
1019,Joseph Brown,15,Female,New Nicholas,7th,3.5,5.5,62,8,1.2,8,4,8,1,0.2,125,9,2.5,2.3,1.9,Education,2,4.5,9.9
1020,Adam Ho,15,Female,Harrisburgh,12th,5.9,5.3,63,5,0.7,6,3,7,0,0.4,99,5,3.6,0.3,0.5,Gaming,9,6.5,10
1021,William Norris,18,Female,West Josephmouth,9th,3,4.8,68,7,2.3,3,8,5,0,0.2,51,8,2.1,1.8,0.3,Social Media,2,5.9,7.1
1022,Elizabeth Wright,14,Female,South Paulside,7th,5.8,4.8,98,7,1.5,6,8,6,1,0.3,28,20,1,1.4,1.3,Gaming,1,3.3,10
1023,Christopher Harris,18,Other,Jessicaview,10th,5.4,7.2,67,1,0,7,5,4,0,0.3,96,12,3.1,2.2,1.2,Gaming,2,3.3,10
1024,Diana Armstrong,17,Female,East Tiffanychester,10th,3,6.2,73,8,0,1,9,9,1,0.7,142,5,1.8,1.5,0.9,Social Media,10,7.9,7
1025,Alicia Robles,13,Male,Cardenasborough,12th,8.1,5.1,68,5,1.1,6,8,3,1,0,101,14,4.5,0,0,Education,4,6,10
1026,Chad Brown,19,Other,Lake Carolynfort,8th,8.6,6.6,63,7,1.7,3,6,9,1,1,91,20,3.3,0,0.8,Education,3,6.3,10
1027,Michael Davidson,19,Female,Evanshaven,9th,5,6.8,54,6,1.5,6,1,7,1,1.2,50,5,3.5,1.8,1.4,Browsing,10,8.7,8.9
1028,Alicia Curtis,16,Other,Butlerville,12th,5.3,9.1,96,6,2,8,1,8,1,0.8,64,12,1.7,1.3,0.2,Gaming,6,7,7.4
1029,Diane Cole,18,Male,Kyleshire,8th,4.3,9.2,68,9,0.4,8,9,6,1,1,96,16,1.5,1.8,1.7,Social Media,4,4.3,8.1
1030,Jasmin Moran,17,Female,Lake Lori,7th,5.5,3,66,6,0.7,3,5,1,1,0.9,29,13,2.9,0.5,1.5,Social Media,9,4.6,10
1031,Max Gomez,15,Other,Jaybury,7th,4.2,5.6,99,5,0.5,5,5,6,0,0.9,98,11,1.9,1.6,0.6,Browsing,10,6.5,9.1
1032,Tracey Watson,19,Female,Abbottville,8th,7.8,5.2,93,8,0.5,7,10,10,1,1,146,13,3.3,4,1.2,Gaming,10,4.1,10
1033,Harry Moran,17,Female,Wilsonton,12th,6.4,7.4,51,5,1.1,3,5,1,0,0.6,100,18,1.7,1.2,2.4,Gaming,10,9.3,10
1034,Stephanie Patel,16,Female,Taylorville,12th,4.3,5.9,61,9,0,3,2,2,0,1.8,28,15,2.1,0,1.9,Browsing,5,3.4,7
1035,Sophia Williams,15,Male,Lancetown,8th,2.2,7.4,76,4,1.1,3,5,4,1,1.5,118,14,3.4,0.8,0,Gaming,2,7.4,7.9
1036,Mary Jones,13,Female,Rachelshire,9th,2.7,3.8,96,2,1.6,2,4,6,0,1.9,57,14,3,2.7,1.4,Education,10,6.9,10
1037,Kyle Miller,17,Other,North Rachelburgh,12th,1.7,7.7,96,4,2.4,5,1,7,1,0.6,28,12,2.6,1.7,0.2,Education,8,6.4,5.1
1038,Cesar Torres,13,Male,Bobbybury,9th,1.8,5.5,94,10,1.7,6,8,8,1,1.4,108,16,1.8,0.7,1,Education,2,7.5,6.9
1039,Brandon Taylor,19,Other,West Alison,8th,5.5,7,57,5,1.5,10,9,1,0,0,27,17,2.4,0,1.4,Social Media,1,7.2,8.3
1040,Connie Lynch,14,Other,North Michelleburgh,9th,7.8,8.6,54,4,1.3,7,3,4,0,1.8,46,18,1,2.5,0.5,Browsing,8,7.5,10
1041,Lisa Brewer,19,Male,Lake Lindaberg,9th,4.8,3.7,97,5,0.4,7,8,4,1,1.5,23,7,1.1,1.4,0.9,Browsing,6,5.3,7.3
1042,John Diaz,15,Male,New Georgeburgh,8th,4.7,7.5,58,8,1.6,10,10,1,0,1.2,138,11,4,2.3,1,Education,6,10.9,10
1043,Adam Humphrey,19,Female,West Justin,11th,9.5,6.9,79,10,0.3,8,9,8,1,1.9,137,20,2.9,2.7,0.2,Social Media,5,6.6,10
1044,Thomas Johnson,13,Male,South John,10th,5,8.3,63,3,0,6,2,5,1,1.2,139,9,1.3,0.5,0,Social Media,8,3.8,7.2
1045,Daniel Gibson,16,Female,Lake Jamesburgh,8th,3.6,7.5,94,9,0,3,10,5,1,0.8,24,18,1.7,2.2,0.5,Browsing,4,5.9,7.8
1046,Scott Walters,17,Other,Port Patriciaton,12th,5.1,8.1,88,5,1.6,5,2,10,0,0.7,22,7,3.6,3.7,1.1,Other,1,7,10
1047,Alexander Gilbert,18,Other,Wyattside,11th,3.9,6.8,68,9,0.7,8,5,6,1,1.4,75,6,2.5,0.5,1.5,Education,6,6,6.2
1048,Matthew Jackson,18,Male,South Aaronborough,8th,4.4,7.9,94,2,1.4,7,6,3,1,0.5,125,19,1.8,2.1,0,Browsing,10,7.5,10
1049,Alice Giles,16,Other,Martinhaven,8th,4.4,10,78,9,2.3,8,3,4,1,0.2,114,12,3.2,2.1,0.3,Browsing,9,6,9.4
1050,Malik Pitts,14,Female,East Mark,7th,5.3,9.1,58,10,0.9,5,5,9,1,1.2,83,16,2,1.5,0.9,Gaming,5,3.1,9.1
1051,Mark Weber,15,Other,Millerfort,10th,4.8,5.4,64,4,2.5,2,3,6,1,0.7,146,9,1.8,0.1,0.8,Other,9,7.8,8.7
1052,Mason Liu,15,Female,New Douglas,10th,6.9,6.4,81,9,2.6,3,6,8,0,1.3,33,9,2.7,2,0,Social Media,1,7.1,10
1053,Deborah Bradley,19,Male,Mcculloughmouth,8th,9.1,8.5,53,1,1.1,10,9,10,1,1.7,78,13,1.5,2,1.2,Education,8,6.3,10
1054,Patricia Sheppard,16,Other,West Alicia,9th,2.6,5.7,95,5,0.1,8,7,3,1,1.8,75,9,3.3,0.2,0.9,Browsing,7,5.1,6.5
1055,Brent Johnson,13,Female,Michaelstad,9th,8.1,6.1,60,0,0.1,10,10,10,1,0.7,23,16,3.5,0.1,0.9,Other,1,6.5,10
1056,Scott Preston,15,Female,Jennifermouth,8th,8.7,8.8,59,7,0.7,10,10,3,1,0.9,102,9,4,1.7,0,Gaming,2,8.5,10
1057,Darryl Wise,16,Other,East Dawn,10th,6.3,7.3,72,0,2.2,5,6,3,0,1.1,49,20,2.3,1.6,0.2,Other,9,6.1,10
1058,Angela Duncan,13,Other,North Bruce,12th,3.1,7.7,68,4,1.2,5,7,10,0,1.1,124,7,3,0.9,0.8,Education,6,7.3,7
1059,Michael Mason,16,Female,Salazarbury,7th,8.9,6.3,95,8,1.8,1,7,1,1,0.6,148,7,2.3,0,1,Gaming,10,9.6,10
1060,Alyssa Murphy,15,Other,Obrienburgh,12th,2.7,4.3,71,10,0.3,5,1,10,1,1.1,92,19,2.8,2.7,0,Gaming,5,0,10
1061,Sean Hogan,16,Other,South Brianside,10th,4.6,5.8,57,5,1.3,1,1,8,1,1.3,96,12,2.5,0,1,Other,4,5.4,8.5
1062,Joel Molina,15,Male,Wileyside,7th,5.2,8,80,2,1.6,3,4,8,0,1.2,55,7,1.2,2.5,0.6,Education,10,6.9,7.4
1063,Clinton Morgan,16,Male,Loritown,11th,3.7,10,92,10,0.1,5,10,7,1,1.2,38,5,3.2,1,1.8,Gaming,3,0.9,4.7
1064,Tara Smith,17,Other,Moranmouth,10th,6.6,5,99,3,0.3,6,6,1,1,1.5,66,15,1.9,2.4,0.1,Gaming,5,10,10
1065,Thomas Gilbert,14,Female,Chasefort,8th,6.8,5.9,83,3,1.5,9,1,7,0,0.6,88,18,2.1,2.7,1.1,Other,1,7.7,10
1066,Roger Martinez,15,Other,East Tracy,11th,6.3,6.1,53,10,0.8,4,5,6,1,1.7,132,9,2.8,1.4,0.6,Browsing,6,9,10
1067,Teresa Stewart,16,Female,West Joshuahaven,8th,7.9,7.2,89,4,0,9,8,7,0,0.8,138,8,4,1.6,1.2,Gaming,6,8.5,10
1068,Teresa Holmes,18,Female,Ryanton,10th,6.5,5.3,70,2,1.5,6,7,6,0,1.1,85,17,1.5,0.7,1.9,Social Media,4,6.7,10
1069,Kim Rodriguez,15,Other,Rittershire,12th,7.8,8.3,96,3,0.1,7,9,1,1,1.5,60,5,3.9,1.8,0.7,Other,4,5.2,10
1070,Jeff Randolph,14,Female,North Michelleburgh,10th,4,5.9,76,2,0.9,6,6,6,1,1,97,19,3,1.7,2,Gaming,9,3.8,10
1071,Melissa Bruce,15,Male,East Nancy,8th,0.8,6.7,66,1,0.9,7,3,5,0,0.6,104,20,2.4,0,1.9,Social Media,7,5.9,5.9
1072,Gary Gonzalez,17,Female,Lake Ericchester,11th,4.5,8.8,74,3,1.6,10,10,5,0,0.9,44,20,1.4,1.6,1.7,Other,7,4.8,8
1073,Crystal Whitaker,16,Female,Albertberg,10th,2.7,5.2,86,3,0.2,6,10,6,0,0.4,66,12,3.8,2.3,1.1,Browsing,4,6.2,9.9
1074,Michael Boyle,14,Male,East Tylerfort,7th,1.4,7.4,56,6,1,3,9,4,1,1.6,25,17,2.7,1,0.4,Education,1,5.3,5.3
1075,Patricia Hutchinson,15,Male,Lake Michael,9th,3.7,6.1,76,6,0,8,3,2,0,0.8,54,15,3.4,0.3,1.1,Social Media,2,6.1,8.4
1076,Thomas Bryant,18,Female,Lake Toniview,11th,4.7,4.7,58,2,0,3,10,8,0,0.7,36,13,3.4,2.2,2.3,Other,4,4.3,10
1077,John Garcia,17,Female,New Ashley,9th,4.4,5.9,56,4,1,3,9,7,0,1.1,54,12,3.9,0.3,0.8,Browsing,6,10.5,9.1
1078,Laura Nelson,14,Female,Sweeneyland,8th,8.1,8.8,58,2,1.4,5,9,7,0,0.4,122,6,2,0.8,1.2,Browsing,1,5.9,10
1079,Marcus Ortiz Jr.,19,Male,Sanderstown,12th,4.3,7,86,10,0.8,9,1,1,0,1.4,89,20,3.3,1.8,0,Gaming,8,4.1,10
1080,Debra Gilbert MD,17,Other,Port Tiffanymouth,9th,1.3,6.1,72,6,0.9,5,4,1,1,0.8,48,13,4.5,1.6,1.3,Gaming,10,0.7,7.9
1081,John Torres,13,Other,North Brian,7th,2.8,5.1,95,9,0,7,10,7,1,0.1,119,9,2.4,1.2,1.4,Education,3,3.6,8
1082,John Kim,18,Other,Lake Cassandratown,10th,9.8,5.1,54,4,1.2,1,6,5,0,0.6,91,20,2.6,1.6,0.6,Gaming,5,5.4,10
1083,Amanda Roman,17,Other,Mezastad,10th,7.5,5,75,8,2.1,8,5,9,1,1.5,97,20,4.6,0.2,0.4,Other,8,4.9,10
1084,Crystal Harris,14,Female,Susanchester,8th,4.6,7.1,63,5,2.3,6,7,5,1,0.6,85,14,2.3,0.6,0.7,Gaming,2,4.9,8.4
1085,Robert Bryant,15,Male,South Alexiston,12th,5.1,5.4,63,0,0.9,1,2,3,0,1.7,87,12,1.5,1.5,1.4,Social Media,6,6.1,9.5
1086,Jonathan Rodriguez,14,Male,Lake Melissaport,7th,4.8,6.9,90,3,0,5,3,9,1,0.6,64,11,1.2,3.1,1.1,Social Media,3,7.3,9.1
1087,John Pineda,14,Female,East Lindatown,9th,3.5,5.1,82,0,1.6,5,2,5,0,1.4,64,11,1.1,2.2,0.5,Browsing,5,8.1,7.7
1088,Jason Rodriguez,13,Male,Phillipsmouth,10th,8,5.6,66,9,0.6,2,3,8,0,1,143,18,2.7,1.2,0,Gaming,7,8.8,10
1089,Bradley Anthony,17,Other,Baileyside,7th,7.1,7.9,54,7,1.3,5,1,8,0,0.8,26,12,3,2.5,1.9,Other,8,8.5,10
1090,Katherine Pruitt,14,Male,South Catherinemouth,10th,5.3,7.6,77,6,0.5,9,10,10,1,2.4,120,15,3.1,2.3,0.1,Education,10,5.5,10
1091,Robert Quinn,16,Female,Michaelfurt,8th,0,8.1,82,3,1.5,9,7,6,1,1.1,40,16,3.3,2.5,1,Education,5,6.5,5.8
1092,Anna White,18,Other,Kimfort,8th,7.3,5.7,95,8,0,9,2,6,0,0.5,91,16,2.1,0,0.9,Education,9,7.7,10
1093,Megan Butler,17,Other,Port Christine,7th,1.2,7.2,66,6,2.2,9,10,9,0,1.6,138,18,3.2,0,1.1,Social Media,3,6.4,7.2
1094,Cassandra Rojas,15,Other,Patriciastad,10th,3.6,6.9,60,6,0.7,9,8,10,0,2,128,6,3.5,1,2,Other,6,6,8.4
1095,Sergio Evans,13,Female,Port Andrew,12th,2.9,6,69,10,2.6,7,10,4,1,1.2,58,5,3.7,0.7,0.3,Gaming,8,8.5,6.5
1096,Michael Ray,16,Female,West Shawn,10th,5.3,6,84,4,1.1,10,5,6,0,0.7,103,17,2.7,2.2,0.8,Browsing,3,2.6,10
1097,Maria Smith,15,Male,New Jaredfurt,9th,1.5,4.3,56,9,0.8,9,8,2,1,0.8,88,20,1.3,2.6,0,Other,6,7.1,9
1098,Jordan Lowe,18,Other,Port Donaldview,8th,7.2,9.1,71,0,0,1,7,8,1,1.5,47,16,2.3,1.6,1.5,Education,5,6.6,10
1099,Daniel Flores,17,Other,Lawrencechester,7th,3.2,4.7,90,5,0,9,3,9,1,1.2,34,15,2.9,1.7,1.2,Gaming,7,3.7,9.1
1100,Kathryn Barber,13,Male,Lake Lisaville,12th,3.9,6.2,83,10,0.1,3,3,10,1,0.9,93,5,1.5,1.5,0.4,Browsing,4,7.4,6.7
1101,Alexander Kelly,19,Male,Brownburgh,10th,7,5.1,99,1,0.3,7,4,4,1,0.9,31,9,3.7,0,1.4,Education,2,4.1,10
1102,Curtis Wang,14,Female,Jessestad,8th,8.3,9.5,66,10,0,2,10,6,0,0.3,131,11,3.8,2.1,1.5,Browsing,4,1.4,10
1103,Dakota Daugherty,17,Female,Kathleenstad,9th,6.3,8.2,77,10,1.9,5,10,6,0,0.9,95,5,2.8,1.2,1.3,Other,9,4.7,9.1
1104,Richard Lamb,18,Male,Clarkton,9th,6,7.6,61,3,1.1,6,6,3,1,1.5,95,20,2.9,0,0.6,Other,7,5,10
1105,Christine Jones,15,Other,East Stacey,8th,3.9,5,88,0,2,7,9,9,0,1.6,63,14,2.5,2.5,2.3,Gaming,3,7.6,10
1106,Tommy Stevens,13,Female,Rodgersmouth,8th,6.1,7,96,5,1.1,3,5,8,0,0.8,87,8,0.9,1.9,2.2,Gaming,10,6.8,8.7
1107,John Henry,15,Female,North Kerrychester,12th,4.5,7.2,56,5,2.2,8,6,3,0,0.8,21,9,1.4,1.9,2.4,Gaming,10,9.4,6.4
1108,James Lane,14,Female,Johnstad,11th,2.2,6.3,62,2,0,6,2,7,0,0.7,98,18,2.9,1.1,1.1,Social Media,1,5.1,8.6
1109,Amy Hall,17,Male,South Donna,11th,4.6,5.8,97,3,2.3,7,8,2,0,2.1,40,20,3.9,1.5,1.2,Browsing,6,8.4,10
1110,Tammy Rodriguez,15,Male,Heatherton,7th,5.3,6.6,85,9,2.3,6,1,9,1,1,50,6,1.2,0.5,0.6,Gaming,6,6.7,5.9
1111,Jon Johnson,13,Male,Watkinsland,8th,5.7,6.7,100,4,2.5,6,7,10,1,0,51,9,0.8,1.3,1.3,Education,7,2.9,7.3
1112,Ricky Martin,19,Female,South Ethan,10th,7,9.7,86,10,1.8,8,8,7,0,1,132,18,0.6,1.6,0.7,Other,1,5.8,10
1113,Katherine Marsh,16,Male,Jameshaven,10th,2.5,5.5,66,0,0.2,3,6,2,1,1.5,131,18,1.7,3,0.2,Social Media,8,2.9,10
1114,Karina Miller,18,Other,Villaside,12th,4.5,8.9,59,7,0.6,10,5,10,1,1,129,10,1.3,1.3,1.5,Gaming,7,3.2,7.2
1115,Chad Roberson,16,Female,Melindahaven,9th,4.8,5.1,88,2,0.4,10,5,9,1,1,142,16,3.2,1.8,0.9,Other,2,5.4,10
1116,Timothy Mcmillan,16,Female,East Alexanderburgh,9th,4.4,6.1,65,10,0.7,3,2,5,0,1.4,98,6,2,0.6,0.1,Education,7,5.6,7.1
1117,Juan Villanueva,19,Male,South Andreaview,8th,6.2,6.5,90,2,0.2,2,9,8,1,0.9,93,13,3.3,4,0,Social Media,5,7.6,10
1118,Karen Fritz,16,Other,Mortonshire,12th,3.3,5.8,83,0,0,1,6,3,0,1,147,16,1.9,0.3,1.9,Social Media,8,5.4,8.7
1119,Patricia Vega,14,Male,Jenningsborough,12th,5,7.4,79,8,0.7,7,7,9,1,0.6,29,9,0.8,0,0.6,Social Media,7,6.6,4.5
1120,Benjamin Holmes,19,Female,Dayside,8th,7.6,6.5,62,6,0.4,8,1,1,0,1.2,52,13,2.2,1.2,0.7,Social Media,1,6.6,10
1121,Jeffery Johnson,16,Male,North Shawntown,8th,7.7,7.5,58,8,0.3,4,2,9,0,0.7,32,8,1.3,1.4,0.7,Gaming,9,5.3,8.9
1122,Erin Lee,17,Female,Ruthbury,10th,3.4,7.5,72,3,1.8,9,8,4,1,1,101,14,3.6,1.4,1.5,Other,2,4,9.5
